3	4	2	1	0
3	4	2	1	0
3	4	2	1	0
3	4	2	1	0
3	4	2	1	0
3	4	2	1	0
3	4	2	1	0
6	4	5	1	0
3	4	2	1	0
6	4	5	1	0
3	4	2	1	0
6	4	5	1	0
3	4	2	1	0
6	4	5	1	0
3	4	2	1	0
6	5	5	1	0
3	5	2	1	0
6	5	5	1	0
3	5	2	1	0
6	5	5	1	0
3	5	2	1	0
6	5	5	1	0
3	5	2	1	0
6	5	5	1	0
3	5	2	1	0
6	5	5	1	0
3	5	2	1	0
6	5	5	1	0
6	5	5	1	0
3	5	2	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
26	6	25	1	0
19	6	18	1	0
6	6	5	1	0
6	6	5	1	0
3	6	2	1	0
